Date;Close;Open;High;Low;Volume;Variation;return;volatility;lag1;lag2;vol_lag1;vol_lag2;ret_abs;ret_sq;ma5;ma20;std5;std20
2022-07-18;959.97;956.38;960.98;955.37;;0.37;0.0037467103604794626;0.008572293305252278;0.00713554203902809;-0.0051469079934618935;0.008980625302333232;0.008792256560794978;0.0037467103604794626;1.4037838525324144e-05;954.082;957.8340000000001;0.004678651664320535;0.008572293305252278
2022-07-19;967.68;959.97;967.8;959.46;;0.8;0.007999420137468172;0.008682503178035062;0.0037467103604794626;0.00713554203902809;0.008572293305252278;0.008980625302333232;0.007999420137468172;6.399072253573131e-05;957.618;957.175;0.005233703870533552;0.008682503178035062
2022-07-20;967.09;965.69;979.48;965.69;;-0.06;-0.00060989163392891;0.008682308753860314;0.007999420137468172;0.0037467103604794626;0.008682503178035062;0.008572293305252278;0.00060989163392891;3.719678051364756e-07;960.1400000000001;956.507;0.005508055309533916;0.008682308753860314
2022-07-21;967.1;967.09;971.83;966.39;;0.0;1.0340245787653623e-05;0.008227390803379338;-0.00060989163392891;0.007999420137468172;0.008682308753860314;0.008682503178035062;1.0340245787653623e-05;1.069206829490885e-10;963.644;956.4469999999999;0.003951879465440437;0.008227390803379338
2022-07-22;965.63;967.1;969.48;964.94;;-0.15;-0.0015211646566855555;0.008015176840152407;1.0340245787653623e-05;-0.00060989163392891;0.008227390803379338;0.008682308753860314;0.0015211646566855555;2.313941912749284e-06;965.4939999999999;956.7065;0.003942868784931664;0.008015176840152407
2022-07-25;956.97;965.63;967.58;953.8;;-0.9;-0.009008695067017852;0.008076260367940668;-0.0015211646566855555;1.0340245787653623e-05;0.008015176840152407;0.008227390803379338;0.009008695067017852;8.115658681051178e-05;964.894;956.167;0.0060389145813812325;0.008076260367940668
2022-07-26;953.89;956.97;957.04;951.0;;-0.32;-0.0032236821821715537;0.00808124115138342;-0.009008695067017852;-0.0015211646566855555;0.008076260367940668;0.008015176840152407;0.0032236821821715537;1.0392126811650351e-05;962.1360000000001;955.6144999999999;0.0036411698957678255;0.00808124115138342
2022-07-27;950.7;953.89;960.96;950.38;;-0.33;-0.0033498054520579223;0.008017975642335497;-0.0032236821821715537;-0.009008695067017852;0.00808124115138342;0.008076260367940668;0.0033498054520579223;1.122119656663698e-05;958.858;954.693;0.003415032232463597;0.008017975642335497
2022-07-28;955.74;950.48;955.74;949.1;;0.53;0.005287354169617011;0.008115518512001858;-0.0033498054520579223;-0.0032236821821715537;0.008017975642335497;0.00808124115138342;0.005287354169617011;2.795611411496639e-05;956.586;953.9280000000001;0.005126315129097329;0.008115518512001858
2022-07-29;954.65;955.74;958.02;951.25;;-0.11;-0.0011411283751284972;0.00811575544743235;0.005287354169617011;-0.0033498054520579223;0.008115518512001858;0.008017975642335497;0.0011411283751284972;1.3021739685234043e-06;954.39;953.1574999999999;0.005144705438546489;0.00811575544743235
